file	ported	total_tests	passing	failing	status	real_pass	real_total	expect_failure
t3425-rebase-topology-merges	yes	13	1	12	ok	1	13	0
t3426-rebase-submodule	yes	29	4	25	ok	4	29	0
t3427-rebase-subtree	yes	3	0	3	ok	0	3	0
t3428-rebase-signoff	yes	7	1	6	ok	1	7	0
t3429-rebase-edit-todo	yes	7	3	4	ok	3	7	0
t3430-rebase-merges	yes	34	1	33	ok	1	34	0
t3431-rebase-fork-point	yes	26	3	23	ok	3	26	0
t3432-rebase-fast-forward	yes	225	189	36	ok	189	225	0
t3433-rebase-across-mode-change	yes	4	0	4	ok	0	4	0
t3434-rebase-i18n	yes	0	0	0	ok	0	0	0
t3435-rebase-gpg-sign	yes	0	0	0	ok	0	0	0
t3436-rebase-more-options	yes	19	1	18	ok	1	19	0
t3437-rebase-fixup-options	yes	13	0	13	ok	0	13	0
t3438-rebase-broken-files	yes	9	1	8	ok	1	9	0
t3440-rebase-trailer	yes	10	1	9	ok	1	10	0
t3450-history	yes	2	2	0	ok	2	2	0
t3451-history-reword	yes	14	0	14	ok	0	14	0
t3452-history-split	yes	25	0	25	ok	0	25	0
t3500-cherry	yes	4	4	0	ok	4	4	0
t3501-revert-cherry-pick	yes	21	4	17	ok	4	21	0
t3502-cherry-pick-merge	yes	12	12	0	ok	12	12	0
t3503-cherry-pick-root	yes	6	1	5	ok	1	6	0
t3504-cherry-pick-rerere	yes	9	3	6	ok	3	9	0
t3505-cherry-pick-empty	yes	17	9	8	ok	9	17	0
t3506-cherry-pick-ff	yes	11	7	4	ok	7	11	0
t3507-cherry-pick-conflict	yes	44	11	33	ok	11	44	0
t3508-cherry-pick-many-commits	yes	14	5	9	ok	5	14	0
t3509-cherry-pick-merge-df	yes	9	3	6	ok	3	9	0
t3510-cherry-pick-sequence	yes	55	22	33	ok	22	55	0
t3511-cherry-pick-x	yes	22	0	22	ok	0	22	0
t3512-cherry-pick-submodule	yes	15	2	13	ok	2	15	0
t3514-cherry-pick-revert-gpg	yes	0	0	0	ok	0	0	0
t3600-rm	yes	82	50	32	ok	50	82	0
t3601-rm-pathspec-file	yes	5	1	4	ok	1	5	0
t3602-rm-sparse-checkout	yes	13	2	11	ok	2	13	0
t3650-replay-basics	yes	31	6	25	ok	6	31	0
t3700-add	yes	58	41	17	ok	41	58	0
t3701-add-interactive	yes	130	28	102	ok	28	130	0
t3702-add-edit	yes	3	1	2	ok	1	3	0
t3703-add-magic-pathspec	yes	6	2	4	ok	2	6	0
t3704-add-pathspec-file	yes	11	2	9	ok	2	11	0
t3705-add-sparse-checkout	yes	20	2	18	ok	2	20	0
t3800-mktag	yes	151	68	83	ok	68	151	0
t3900-i18n-commit	yes	0	0	0	ok	0	0	0
t3901-i18n-patch	yes	0	0	0	ok	0	0	0
t3902-quoted	yes	13	5	8	ok	5	13	0
t3903-stash	yes	142	57	85	ok	57	142	0
t3904-stash-patch	yes	10	4	6	ok	4	10	0
t3905-stash-include-untracked	yes	34	12	22	ok	12	34	0
t3906-stash-submodule	yes	16	10	6	ok	10	16	0
t3907-stash-show-config	yes	10	1	9	ok	1	10	0
t3908-stash-in-worktree	yes	2	2	0	ok	2	2	0
t3909-stash-pathspec-file	yes	5	1	4	ok	1	5	0
t3910-mac-os-precompose	yes	0	0	0	ok	0	0	1
t3920-crlf-messages	yes	18	3	15	ok	3	18	0
t4000-diff-format	yes	41	17	24	ok	17	41	0
t4001-diff-rename	yes	23	17	6	ok	17	23	0
t4002-diff-basic	yes	63	44	19	ok	44	63	0
t4003-diff-rename-1	yes	7	4	3	ok	4	7	0
t4004-diff-rename-symlink	yes	4	4	0	ok	4	4	0
t4005-diff-rename-2	yes	4	4	0	ok	4	4	0
t4006-diff-mode	yes	7	5	2	ok	5	7	0
t4007-rename-3	yes	13	11	2	ok	11	13	0
t4008-diff-break-rewrite	yes	14	5	9	ok	5	14	0
t4010-diff-pathspec	yes	17	11	6	ok	11	17	0
t4011-diff-symlink	yes	8	1	7	ok	1	8	0
t4012-diff-binary	yes	13	2	11	ok	2	13	0
t4013-diff-various	yes	230	78	152	ok	78	230	0
t4014-format-patch	yes	215	47	168	ok	47	215	0
t4015-diff-whitespace	yes	136	74	62	ok	74	136	0
t4016-diff-quote	yes	5	5	0	ok	5	5	0
t4017-diff-retval	yes	38	30	8	ok	30	38	0
t4018-diff-funcname	yes	4	1	3	ok	1	4	0
t4019-diff-wserror	yes	21	5	16	ok	5	21	0
t4020-diff-external	yes	72	20	52	ok	20	72	0
t4021-format-patch-numbered	yes	14	14	0	ok	14	14	0
t4022-diff-rewrite	yes	11	4	7	ok	4	11	0
t4023-diff-rename-typechange	yes	4	0	4	ok	0	4	0
t4024-diff-optimize-common	yes	2	2	0	ok	2	2	0
t4025-hunk-header	yes	2	2	0	ok	2	2	0
t4026-color	yes	34	15	19	ok	15	34	0
t4027-diff-submodule	yes	20	1	19	ok	1	20	0
t4028-format-patch-mime-headers	yes	3	3	0	ok	3	3	0
t4029-diff-trailing-space	yes	1	1	0	ok	1	1	0
t4030-diff-textconv	yes	19	2	17	ok	2	19	0
t4031-diff-rewrite-binary	yes	8	3	5	ok	3	8	0
